date,platform,agent_slot,asset_id,content_type,hook,caption,cta,url_or_utm,character,product,neighborhood,status,next_action
2026-05-18,TikTok,05,GAFC-TT-001,short_video,"Would you wear this or is Sacramento not ready?","Would you wear GAFC or is Sacramento not ready? Gloxsie hoodie, Bobo tee, Cardey cap, Keezey keychain, SB sticker, Cuppy tote. Vote the first drop.","Comment + join list","https://glocks-fried-chicken.myshopify.com?utm_source=tiktok&utm_medium=short_video&utm_campaign=gafc_viral_drop_001&utm_content=wear_this_fullcrew","Full Crew","Full GAFC Fit","Sacramento",draft,Create 7-second product flash video
2026-05-18,Instagram Reels,01,GAFC-IGR-001,short_video,"The address does not go public.","GAFC local drop loading. 200-300 pieces. Address by SMS only. RSVP gets raffle access.","Join list","https://glocks-fried-chicken.myshopify.com?utm_source=instagram&utm_medium=reel&utm_campaign=gafc_viral_drop_001&utm_content=address_sms","Gloxsie","Hoodie","Sacramento",draft,Use countdown creative
2026-05-18,Instagram Carousel,03,GAFC-IGC-001,carousel,"Pick the first character.","The crew is loaded: Gloxsie, Bobo, Cardey, Keezey, SB, Cuppy. Which one headlines the first drop?","Comment character","https://glocks-fried-chicken.myshopify.com?utm_source=instagram&utm_medium=carousel&utm_campaign=gafc_viral_drop_001&utm_content=character_vote","Full Crew","Character merch","Sacramento",draft,Build 6-slide carousel
2026-05-18,Instagram Stories,02,GAFC-IGS-001,story_sequence,"Vote what gets ordered.","Frame 1: hoodie or tee. Frame 2: cap or keychain. Frame 3: sticker or tote. Frame 4: list gets first access.","Vote + join list","https://glocks-fried-chicken.myshopify.com?utm_source=instagram&utm_medium=story&utm_campaign=gafc_viral_drop_001&utm_content=product_vote","Full Crew","All SKUs","Sacramento",draft,Create polls
2026-05-18,X,12,GAFC-X-001,short_post,"No restock unless the neighborhood proves it.","GAFC local drop is being built from demand. Vote the product, join the list, and get the address before the public ever sees it.","Join list","https://glocks-fried-chicken.myshopify.com?utm_source=x&utm_medium=short_post&utm_campaign=gafc_viral_drop_001&utm_content=no_restock","Full Crew","All SKUs","Sacramento",draft,Queue post
2026-05-18,Bluesky,14,GAFC-BSKY-001,short_post,"What makes a drop worth pulling up for?","What makes a merch drop worth pulling up for: the character, the scarcity, the venue, or the neighborhood? GAFC is watching the replies.","Reply + join list","https://glocks-fried-chicken.myshopify.com?utm_source=bluesky&utm_medium=short_post&utm_campaign=gafc_viral_drop_001&utm_content=drop_question","Full Crew","All SKUs","Sacramento",draft,Queue conversation prompt
2026-05-18,Facebook,09,GAFC-FB-001,feed_post,"Sacramento gets first access.","GAFC is building the first local drop from real demand. Vote what should get ordered first and join the list for first access.","Join list","https://glocks-fried-chicken.myshopify.com?utm_source=facebook&utm_medium=feed&utm_campaign=gafc_viral_drop_001&utm_content=sac_first","Full Crew","All SKUs","Sacramento",draft,Post to page
2026-05-18,Pinterest,16,GAFC-PIN-001,pin,"Full GAFC fit.","Black hoodie, joggers, cap, sneakers, character stickers. GAFC full fit concept for the first local drop.","Visit shop","https://glocks-fried-chicken.myshopify.com?utm_source=pinterest&utm_medium=pin&utm_campaign=gafc_viral_drop_001&utm_content=full_fit","Gloxsie","Full GAFC Fit","Sacramento",draft,Create pin with full-fit image
2026-05-18,SMS,17,GAFC-SMS-001,text,"The list moves first.","GAFC drop list is opening. Vote the first product and get address/raffle access before public social.","Join list","sms_list",Full Crew,All SKUs,Sacramento,needs_setup,Connect SMS platform
2026-05-18,Creator Outreach,19,GAFC-DM-001,dm,"Early access creator seed.","Yo [NAME], GAFC is building a Sacramento character streetwear drop. Want early access and a creator code for the first one?","Reply yes","creator_dm",Full Crew,All SKUs,Sacramento,ready,Send 25 DMs
2026-05-18,Venue Outreach,20,GAFC-VENUE-001,dm,"Host the line.","Peace [NAME], GAFC is booking limited local streetwear drops at independent Sacramento spots. We bring RSVP/SMS traffic and co-branded promo. Who handles collabs?","Book call","venue_dm",Full Crew,All SKUs,Sacramento,ready,Send 15 DMs
